Wellenlänge,Intensität,x,y,z,CMF(x),CMF(y),CMF(z)
725,65.7448,0.0015,0.0006,0.0,0.0986172,0.03944688,0.0
730,69.8856,0.001,0.0004,0.0,0.06988559999999999,0.027954239999999998,0.0
735,72.4863,0.0007,0.0003,0.0,0.05074041,0.021745889999999997,0.0
740,75.087,0.0005,0.0002,0.0,0.0375435,0.015017400000000002,0.0
745,69.3398,0.0004,0.0001,0.0,0.02773592,0.00693398,0.0
750,63.5927,0.0003,0.0001,0.0,0.019077809999999997,0.00635927,0.0
755,55.0054,0.0001,0.0001,0.0,0.005500540000000001,0.005500540000000001,0.0
760,46.4182,0.0001,0.0,0.0,0.0046418200000000005,0.0,0.0
765,56.6118,0.0001,0.0,0.0,0.005661180000000001,0.0,0.0
770,66.8054,0.0001,0.0,0.0,0.006680540000000001,0.0,0.0
775,65.0941,0.0,0.0,0.0,0.0,0.0,0.0
780,63.3828,0.0,0.0,0.0,0.0,0.0,0.0
