Wellenlänge,Intensität,x,y,z,X,Y,Z
725,65.7448,0.001,0.0004,0.0,0.0657448,0.02629792,0.0
730,69.8856,0.0007,0.0002,0.0,0.04891992,0.013977119999999999,0.0
735,72.4863,0.0005,0.0002,0.0,0.03624315,0.014497260000000001,0.0
740,75.087,0.0003,0.0001,0.0,0.0225261,0.007508700000000001,0.0
745,69.3398,0.0002,0.0001,0.0,0.01386796,0.00693398,0.0
750,63.5927,0.0002,0.0001,0.0,0.01271854,0.00635927,0.0
755,55.0054,0.0002,0.0001,0.0,0.011001080000000002,0.005500540000000001,0.0
760,46.4182,0.0001,0.0,0.0,0.0046418200000000005,0.0,0.0
765,56.6118,0.0001,0.0,0.0,0.005661180000000001,0.0,0.0
770,66.8054,0.0,0.0,0.0,0.0,0.0,0.0
775,65.0941,,,,,,
780,63.3828,,,,,,
